gene,logfoldchange,pval_adj,score
ENSG00000187672,0.17188047,1.0,0.79636383
ENSG00000100316,0.17115496,1.0,0.9564248
ENSG00000185345,0.16541341,1.0,1.3006885
ENSG00000183230,0.16409901,1.0,0.6206505
ENSG00000164136,0.1632437,1.0,0.5838015
ENSG00000100600,0.16309772,1.0,0.5796644
ENSG00000115963,0.16104516,1.0,0.0026837029
ENSG00000264031,0.1610195,1.0,0.87707096
ENSG00000188511,0.15900129,1.0,0.80113524
ENSG00000276070,0.15890281,1.0,0.06612367
ENSG00000149256,0.15571018,1.0,1.2923951
ENSG00000134146,0.15542534,1.0,0.6702259
ENSG00000273118,0.15503109,1.0,0.45782894
ENSG00000165246,0.15275614,1.0,0.47997525
ENSG00000111913,0.15272881,1.0,0.3018166
ENSG00000161016,0.15251711,1.0,0.669357
ENSG00000000971,0.15238486,1.0,0.006167134
ENSG00000182132,0.15184145,1.0,0.50392866
ENSG00000111885,0.15133499,1.0,0.9634993
ENSG00000145390,0.15087342,1.0,0.9041079
ENSG00000112773,0.14899684,1.0,0.2492614
ENSG00000198727,0.14876191,1.0,0.80981696
ENSG00000247199,0.14874302,1.0,0.3436562
ENSG00000147408,0.14776354,1.0,2.3058698
ENSG00000227240,0.1455186,1.0,0.16434412
ENSG00000104368,0.14525913,1.0,0.27426058
ENSG00000074706,0.14510874,1.0,0.48937204
ENSG00000091490,0.14482546,1.0,0.01101933
ENSG00000152270,0.14375032,1.0,0.4768609
ENSG00000123094,0.14365338,1.0,0.767539
ENSG00000100385,0.14165609,1.0,0.013941413
ENSG00000115738,0.13652232,1.0,0.4894374
ENSG00000101849,0.13647045,1.0,0.44899732
ENSG00000174473,0.13537903,1.0,0.5841552
ENSG00000198899,0.13408439,1.0,0.78777057
ENSG00000169439,0.13320442,1.0,0.12634934
ENSG00000171848,0.13262564,1.0,0.032008346
ENSG00000105810,0.13133918,1.0,1.2018414
ENSG00000285755,0.1294562,1.0,0.29558027
ENSG00000104324,0.12881373,1.0,0.8415023
ENSG00000285972,0.12776925,1.0,0.14850335
ENSG00000249279,0.1274856,1.0,0.33708152
ENSG00000273409,0.12739429,1.0,0.4795677
ENSG00000116117,0.12593135,1.0,0.4517579
ENSG00000235749,0.12534839,1.0,0.060225673
ENSG00000184005,0.12360682,1.0,0.6903998
ENSG00000141837,0.12204664,1.0,0.87015796
ENSG00000257242,0.12193066,1.0,0.11419963
ENSG00000188649,0.12103063,1.0,0.3897175
ENSG00000197980,0.11873953,1.0,0.11534924
ENSG00000154274,0.11822753,1.0,0.3243128
ENSG00000179104,0.11804681,1.0,0.43508282
ENSG00000198682,0.11786531,1.0,0.07827723
ENSG00000171587,0.116319194,1.0,1.16505
ENSG00000147403,0.11559458,1.0,0.52212244
ENSG00000198886,0.115367,1.0,0.51299477
ENSG00000251139,0.114121266,1.0,0.1705574
ENSG00000137727,0.11294979,1.0,0.41992643
ENSG00000169432,0.112163424,1.0,0.10314185
ENSG00000287732,0.11104385,1.0,0.16186035
ENSG00000170153,0.110266596,1.0,0.759411
ENSG00000115523,0.109903276,1.0,0.1654322
ENSG00000171643,0.10948445,1.0,0.3099792
ENSG00000227028,0.10895528,1.0,0.58561623
ENSG00000258526,0.10391121,1.0,0.6049943
ENSG00000170542,0.10154195,1.0,0.7056908
ENSG00000106799,0.101115435,1.0,0.6388366
ENSG00000234906,0.099908344,1.0,0.4150627
ENSG00000107643,0.09713074,1.0,0.57910305
ENSG00000249867,0.096948914,1.0,0.26140726
ENSG00000019485,0.09594027,1.0,0.32205972
ENSG00000115896,0.09547717,1.0,0.53680205
ENSG00000269964,0.09523569,1.0,0.12263522
ENSG00000163491,0.095213346,1.0,0.318261
ENSG00000088827,0.09504589,1.0,0.094244875
ENSG00000184220,0.09443378,1.0,0.55100495
ENSG00000134769,0.09429471,1.0,0.20107777
ENSG00000105374,0.093133084,1.0,-0.020146996
ENSG00000187098,0.09256902,1.0,0.7172407
ENSG00000253773,0.0923358,1.0,0.14928001
ENSG00000145335,0.09202371,1.0,0.3448366
ENSG00000103489,0.090099625,1.0,0.42546687
ENSG00000034510,0.08852453,1.0,0.649383
ENSG00000237484,0.087845586,1.0,0.46924043
ENSG00000236088,0.08749789,1.0,0.45214626
ENSG00000198804,0.087065056,1.0,0.58712727
ENSG00000198648,0.086932234,1.0,0.17103414
ENSG00000114541,0.0863177,1.0,0.84630454
ENSG00000188001,0.086274326,1.0,0.26547128
ENSG00000150907,0.08623284,1.0,0.44978166
ENSG00000144455,0.08600584,1.0,0.5036518
ENSG00000247134,0.08357145,1.0,0.0914266
ENSG00000147872,0.08348679,1.0,0.18459877
ENSG00000258227,0.08344805,1.0,0.25196818
ENSG00000141376,0.08340351,1.0,0.7530209
ENSG00000204389,0.082671225,1.0,0.28146583
ENSG00000158467,0.08222502,1.0,0.43936598
ENSG00000287616,0.081744574,1.0,0.37073547
ENSG00000108984,0.08078587,1.0,0.19263065
ENSG00000171132,0.08058485,1.0,0.38092816
ENSG00000258561,0.079484634,1.0,0.09212252
ENSG00000206199,0.077011734,1.0,0.4780759
ENSG00000136942,0.07697184,1.0,0.30134368
ENSG00000142937,0.07657166,1.0,0.40991062
ENSG00000198938,0.07562165,1.0,0.78724384
ENSG00000010818,0.07447958,1.0,0.29696056
ENSG00000197756,0.074456334,1.0,0.44393367
ENSG00000156970,0.07384019,1.0,0.020973638
ENSG00000159189,0.073635235,1.0,0.44765547
ENSG00000050730,0.07161083,1.0,0.0072090873
ENSG00000172809,0.071305305,1.0,0.29806018
ENSG00000020577,0.070950195,1.0,0.20164682
ENSG00000044574,0.07080995,1.0,0.25778157
ENSG00000124172,0.07018265,1.0,0.24730052
ENSG00000147905,0.069334276,1.0,0.023845738
ENSG00000269821,0.06924527,1.0,0.58586234
ENSG00000281903,0.06919666,1.0,0.17948897
ENSG00000175445,0.0683582,1.0,0.06498175
ENSG00000198840,0.06811275,1.0,0.37976316
ENSG00000251301,0.067783736,1.0,0.006290169
ENSG00000135842,0.067216426,1.0,0.1564468
ENSG00000104447,0.06650609,1.0,0.470986
ENSG00000267313,0.066030785,1.0,0.0045945914
ENSG00000106415,0.0658992,1.0,0.28854418
ENSG00000170417,0.06495193,1.0,0.11657574
ENSG00000274536,0.06399929,1.0,0.32682732
ENSG00000108298,0.063755095,1.0,0.28757912
ENSG00000118922,0.063729234,1.0,0.2076294
ENSG00000173369,0.063613266,1.0,0.8461969
ENSG00000232810,0.06279559,1.0,0.02052379
