"pseudotime_L1","pseudotime_L2","disease_group","cluster","Braak","ADNC"
11.7058320573057,2.56927528050999,"AD_Low_Int","4","Braak IV","Intermediate"
11.7058320573057,2.54664295573303,"AD_High","4","Braak VI","High"
11.4159034196288,11.6031453698447,"AD_High","2","Braak VI","High"
6.66996142071391,6.18062940818891,"AD_High","2","Braak V","High"
8.36954325409863,8.40646522373766,"Control","2","Braak II","Not AD"
6.9918251943202,6.90334796699795,"AD_Low_Int","2","Braak IV","Low"
10.5611607579307,10.9242339519124,"AD_High","2","Braak VI","High"
2.62295543772885,NA,"AD_Low_Int","5","Braak III","Intermediate"
6.51238664793239,6.47007680912802,"AD_Low_Int","2","Braak V","Intermediate"
5.0178268076692,4.78573484514153,"AD_High","2","Braak V","High"
6.4499771606094,6.17669998766521,"AD_Low_Int","2","Braak III","Low"
7.31196655364505,7.12697293141286,"Control","2","Braak IV","Not AD"
8.96062989563537,9.2598483520248,"AD_High","2","Braak V","High"
11.802174562912,13.7223436188796,"AD_Low_Int","4","Braak III","Low"
5.7810639961822,NA,"AD_High","2","Braak VI","High"
6.50562614128935,6.41248020114563,"AD_High","2","Braak V","High"
3.3966276461787,3.22446141673274,"AD_Low_Int","4","Braak V","Intermediate"
13.1517473222164,12.8239959666066,"Control","2","Braak 0","Not AD"
6.81530498417269,6.77865243189561,"AD_High","2","Braak VI","High"
6.83363622393198,6.6614358230582,"AD_High","2","Braak V","High"
7.39729955532721,7.28301156515733,"AD_High","2","Braak VI","High"
7.53869522205548,6.92763986056284,"AD_Low_Int","2","Braak IV","Low"
11.1848813831729,11.754117333986,"AD_High","2","Braak V","High"
11.6097118810934,12.2373702451557,"AD_Low_Int","2","Braak IV","Low"
2.80291667685162,2.61332370503088,"AD_Low_Int","4","Braak III","Low"
7.85419022254516,7.79721424160261,"AD_High","2","Braak V","High"
5.4218201173128,5.17520821944048,"AD_Low_Int","2","Braak V","Intermediate"
14.2182472857837,12.1299868585143,"Control","2","Braak 0","Not AD"
7.27059580386513,7.1982067179036,"AD_Low_Int","2","Braak II","Low"
6.60943161757534,6.42842402932965,"AD_Low_Int","2","Braak IV","Intermediate"
6.30666965276386,6.20371072616626,"AD_Low_Int","2","Braak V","Intermediate"
11.0200357939036,5.25365178504836,"AD_Low_Int","2","Braak V","Intermediate"
14.4374486218883,10.4143052562053,"AD_High","2","Braak VI","High"
2.46363820705837,NA,"AD_Low_Int","5","Braak III","Intermediate"
3.74560842445053,3.55356767515701,"AD_Low_Int","4","Braak IV","Low"
15.4314962020054,10.2163123709151,"Control","2","Braak IV","Not AD"
13.9406858254145,12.2286213193884,"AD_Low_Int","2","Braak II","Low"
10.0531135765229,10.5115177181397,"AD_High","2","Braak VI","High"
5.30977064836253,5.08611382758864,"AD_Low_Int","2","Braak III","Low"
11.5970480928842,12.1241365232504,"AD_Low_Int","2","Braak V","Intermediate"
5.46571483316982,5.2622166899338,"AD_Low_Int","2","Braak IV","Low"
8.86664896388913,9.08499517458166,"AD_Low_Int","2","Braak II","Low"
5.83994987212652,5.65102228324075,"Control","2","Braak IV","Not AD"
13.7645984017785,11.3641523154147,"AD_Low_Int","2","Braak III","Low"
11.6097118810934,NA,"AD_High","4","Braak V","High"
2.89642416263596,2.70586164610302,"AD_High","4","Braak V","High"
4.2930287082405,4.07109298329833,"AD_High","2","Braak VI","High"
13.7549264726271,12.6030996976085,"AD_Low_Int","2","Braak IV","Low"
8.68232655527493,8.78758568697635,"AD_Low_Int","2","Braak IV","Intermediate"
2.31850203653611,2.13635822899558,"AD_Low_Int","4","Braak IV","Intermediate"
3.63956975102776,3.4261870831304,"AD_High","4","Braak V","High"
14.7577421751036,11.584651106365,"AD_High","2","Braak VI","High"
4.40208913613697,4.19269951843102,"AD_High","2","Braak VI","High"
11.7058320573057,2.39257696288015,"AD_High","4","Braak V","High"
8.51306096875371,8.48345733461572,"AD_High","2","Braak V","High"
14.3930261036506,10.7145505119989,"AD_Low_Int","2","Braak IV","Low"
7.79942918299248,7.72379213155416,"AD_Low_Int","2","Braak IV","Intermediate"
11.4159034196288,11.7294494109295,"Control","2","Braak IV","Not AD"
8.14025213034662,7.93786816318566,"AD_Low_Int","2","Braak III","Low"
7.20714648364743,7.17914027582817,"Control","2","Braak IV","Not AD"
5.49524623653809,5.17709822111734,"AD_High","2","Braak V","High"
8.06128180068292,8.06748364170367,"Control","2","Braak II","Not AD"
7.94239976876122,7.90447843696456,"Reference","2","Reference","Reference"
9.63820334854123,9.66628958034031,"AD_Low_Int","2","Braak II","Low"
9.17646457767882,8.85495984492657,"AD_High","2","Braak VI","High"
8.20113410157622,8.23749598644759,"Control","2","Braak IV","Not AD"
3.53439365368194,3.33729114088966,"AD_High","2","Braak V","High"
4.32807498802926,4.10385363919368,"AD_High","2","Braak VI","High"
8.23389475813891,8.26908509954897,"AD_Low_Int","2","Braak III","Low"
7.06744992801705,6.70206445759225,"AD_High","2","Braak V","High"
7.69478719147651,7.51876785338924,"AD_High","2","Braak V","High"
13.0714696905836,11.7260041500456,"AD_High","2","Braak V","High"
11.5131699793979,4.21869519369995,"AD_High","2","Braak V","High"
9.00368998147674,9.40333764804921,"Reference","2","Reference","Reference"
13.101548411951,12.7285412634907,"AD_Low_Int","2","Braak IV","Intermediate"
3.45548572902867,3.27226439034945,"AD_High","4","Braak VI","High"
