"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000064225",7.76640922002122e-117,-1.00210694979061,0.341,0.572,2.75575498354013e-112
"ENSG00000136156",1.1556588200188e-116,-0.627246476511393,0.604,0.755,4.10062419107272e-112
"ENSG00000136141",1.34013790581818e-116,-0.555768897513722,0.633,0.789,4.75521133121464e-112
"ENSG00000148180",1.73884892449627e-115,-0.885638822781451,0.409,0.619,6.1699576387901e-111
"ENSG00000212907",4.45633605601969e-115,1.23735747710044,0.313,0.137,1.58124172275747e-110
"ENSG00000112079",1.0387889303096e-114,1.0236582928639,0.5,0.294,3.68593476141754e-110
"ENSG00000150867",1.0424474622368e-114,0.512011197818215,0.861,0.738,3.69891633025483e-110
"ENSG00000157388",3.51990622944435e-114,-1.13275142274033,0.291,0.52,1.24896832739374e-109
"ENSG00000118985",1.12692827948381e-113,-0.741838007189561,0.5,0.69,3.99867961409239e-109
"ENSG00000143079",2.05684503173534e-113,-1.06757685175405,0.329,0.543,7.2983032261065e-109
"ENSG00000174718",3.7138364688675e-113,0.836797480090495,0.64,0.439,1.31778059424826e-108
"ENSG00000101849",8.9822664060024e-113,1.19687629328628,0.379,0.188,3.18717758884183e-108
"ENSG00000198727",1.94088071768436e-112,0.810749504261337,0.658,0.461,6.88682705055941e-108
"ENSG00000107863",6.00092402056111e-112,-0.667808279942134,0.544,0.729,2.1293078702157e-107
"ENSG00000116711",2.58762975653711e-111,-1.03640650873481,0.327,0.547,9.18168666512064e-107
"ENSG00000129422",2.84861390111048e-111,-1.07201455052669,0.306,0.529,1.01077367053103e-106
"ENSG00000143641",6.9646090999002e-111,-0.629732228406469,0.581,0.743,2.47125224691759e-106
"ENSG00000111859",9.96924593404427e-111,1.05411040730001,0.485,0.288,3.53738753477693e-106
"ENSG00000103222",4.01071660439173e-110,1.08974286984488,0.418,0.22,1.42312257273632e-105
"ENSG00000234906",6.19068732531772e-110,-2.62899675231047,0.063,0.272,2.19664158364249e-105
"ENSG00000133800",2.17112757351422e-109,1.51548843865679,0.334,0.17,7.7038119691005e-105
"ENSG00000079277",5.42116118964318e-109,-0.665251353010658,0.539,0.709,1.92359062492109e-104
"ENSG00000130402",8.69249858643522e-109,1.03896260599552,0.437,0.235,3.08435927342481e-104
"ENSG00000248309",1.06304738698454e-108,-0.993365326111412,0.348,0.562,3.77201104323724e-104
"ENSG00000136167",1.61565179289815e-108,0.855845816408027,0.598,0.402,5.73281725674051e-104
"ENSG00000102780",7.85572014518713e-108,1.40725960476326,0.28,0.121,2.78744517911675e-103
"ENSG00000205726",1.4701038734053e-107,1.05852348818669,0.517,0.341,5.21636957400401e-103
"ENSG00000090104",2.37238446819259e-107,-1.58736991117296,0.155,0.381,8.41793180848777e-103
"ENSG00000198899",7.77749158054962e-107,0.760345384836803,0.681,0.5,2.75968733752642e-102
"ENSG00000074590",1.30332713259979e-106,-1.26322087892875,0.232,0.454,4.62459566460382e-102
"ENSG00000264031",2.2982865622288e-106,-1.00915173362351,0.344,0.562,8.15501020875644e-102
"ENSG00000142185",6.02441281112904e-106,-0.717239082621481,0.475,0.68,2.13764239777292e-101
"ENSG00000107551",4.52089349963057e-105,-0.939306136852794,0.374,0.573,1.60414864047392e-100
"ENSG00000140968",5.89939197731582e-105,-1.40997112941157,0.211,0.425,2.09328125531097e-100
"ENSG00000205268",2.7081398181074e-103,0.916916642583864,0.582,0.391,9.60929251659048e-99
"ENSG00000105366",3.40047076970852e-103,-2.23297460478081,0.082,0.287,1.20658904321567e-98
"ENSG00000047648",6.25850658818439e-103,-0.79657809421154,0.405,0.63,2.22070589268547e-98
"ENSG00000140548",1.12092243416922e-102,-0.633474662185596,0.534,0.724,3.97736907316263e-98
"ENSG00000203747",2.86695072638786e-102,-1.0290834958384,0.262,0.496,1.0172801262442e-97
"ENSG00000134243",1.22568124071201e-101,-0.793541276488526,0.438,0.632,4.34908474641843e-97
"ENSG00000123908",1.56094917159728e-101,0.993830267820686,0.448,0.251,5.53871594557862e-97
"ENSG00000260314",4.52749156908902e-101,1.45916513923795,0.403,0.252,1.60648983345986e-96
"ENSG00000196776",6.32490599604377e-101,0.915213005972132,0.498,0.299,2.24426639457621e-96
"ENSG00000111846",7.19506782365302e-101,-1.21470217496354,0.239,0.455,2.5530259158668e-96
"ENSG00000178764",2.72042770038912e-100,0.99514601748551,0.449,0.259,9.65289360929071e-96
"ENSG00000136044",3.42303280013676e-100,-0.727501022846162,0.488,0.66,1.21459472847253e-95
"ENSG00000138119",1.43993886261786e-99,-0.993979430060764,0.302,0.52,5.10933506622696e-95
"ENSG00000145990",1.8348918913801e-99,1.35989789140298,0.292,0.135,6.51074689818402e-95
"ENSG00000253582",2.26153231602274e-99,-1.92619428048654,0.116,0.321,8.0245951169435e-95
"ENSG00000133639",2.49759421657724e-99,1.21308644560396,0.406,0.228,8.86221355868101e-95
"ENSG00000125089",6.67867830628411e-99,-0.936310915658646,0.368,0.563,2.36979542341879e-94
"ENSG00000237978",8.33791218056319e-99,-1.78463612850513,0.127,0.333,2.95854137902924e-94
"ENSG00000008083",8.66702525704422e-99,0.644513035120537,0.702,0.547,3.075320571957e-94
"ENSG00000162980",3.20010530011599e-98,-0.94888217219882,0.368,0.554,1.13549336364016e-93
"ENSG00000136040",3.73097167961855e-98,1.14281168753812,0.359,0.183,1.32386068107905e-93
"ENSG00000146433",6.77115067113385e-98,0.864908626913165,0.539,0.338,2.40260739263842e-93
"ENSG00000153823",1.04637748521803e-97,1.29274456638808,0.349,0.183,3.71286123079912e-93
"ENSG00000182389",1.18084916464864e-97,-0.985474931661982,0.333,0.538,4.19000709092276e-93
"ENSG00000084112",1.64953414999868e-97,-0.787226198888379,0.436,0.62,5.85304202444033e-93
"ENSG00000152495",5.03106533670082e-97,1.83694129820396,0.262,0.121,1.78517291342155e-92
"ENSG00000090530",7.38052820529336e-97,-1.73233098441505,0.127,0.332,2.61883282308424e-92
"ENSG00000187715",8.08346926891329e-97,-1.7041300219679,0.135,0.339,2.8682574006885e-92
"ENSG00000166979",3.8828164067302e-96,1.24131138765119,0.296,0.137,1.37773974560008e-91
"ENSG00000150337",5.37558764730221e-96,-1.8041501292907,0.131,0.329,1.90741976489224e-91
"ENSG00000118515",5.99939933299087e-96,-1.27256213065499,0.232,0.441,2.12876686532515e-91
"ENSG00000198108",7.26425936466469e-96,-0.692914448153385,0.468,0.681,2.57757715036397e-91
"ENSG00000166068",1.34255927523512e-95,-0.57197323164324,0.554,0.767,4.76380307631676e-91
"ENSG00000167323",1.52487059756471e-95,0.733687116088412,0.62,0.424,5.41069834133887e-91
"ENSG00000180628",1.79670869589049e-94,0.94901708718623,0.446,0.255,6.37526146562822e-90
"ENSG00000092820",3.61474955712224e-94,1.17977527837432,0.315,0.151,1.28262158535368e-89
"ENSG00000165181",6.64962747006557e-94,-1.20323987713878,0.259,0.459,2.35948731520337e-89
"ENSG00000131378",8.06725198582737e-94,1.19514497925438,0.356,0.188,2.86250302213112e-89
"ENSG00000108950",1.48567396045272e-93,1.27829958353673,0.319,0.16,5.2716169138744e-89
"ENSG00000018280",3.17646649197174e-93,-0.66947382767868,0.445,0.68,1.12710560534633e-88
"ENSG00000244405",6.29388480260343e-93,-1.0403383243912,0.281,0.49,2.23325914450778e-88
"ENSG00000118922",1.06715596498579e-92,1.13949931168907,0.414,0.244,3.78658951055908e-88
